,match,team_matrix,id
0,1,Saudi Arabia,0
1,17,Saudi Arabia,1
2,32,Saudi Arabia,2
3,1,Russia,3
4,13,Russia,4
5,31,Russia,5
6,52,Russia,6
7,60,Russia,7
8,2,Nigeria,8
9,22,Nigeria,9
10,37,Nigeria,10
11,2,Croatia,11
12,18,Croatia,12
13,34,Croatia,13
14,51,Croatia,14
15,60,Croatia,15
16,62,Croatia,16
17,64,Croatia,17
18,3,France,18
19,19,France,19
20,36,France,20
21,50,France,21
22,57,France,22
23,61,France,23
24,64,France,24
25,3,Australia,25
26,20,Australia,26
27,35,Australia,27
28,4,Iceland,28
29,22,Iceland,29
30,34,Iceland,30
31,4,Argentina,31
32,18,Argentina,32
33,37,Argentina,33
34,50,Argentina,34
35,5,Peru,35
36,19,Peru,36
37,35,Peru,37
38,5,Denmark,38
39,20,Denmark,39
40,36,Denmark,40
41,51,Denmark,41
42,6,Switzerland,42
43,23,Switzerland,43
44,41,Switzerland,44
45,56,Switzerland,45
46,6,Brazil,46
47,21,Brazil,47
48,38,Brazil,48
49,53,Brazil,49
50,58,Brazil,50
51,7,Mexico,51
52,26,Mexico,52
53,39,Mexico,53
54,53,Mexico,54
55,7,Germany,55
56,24,Germany,56
57,40,Germany,57
58,8,Serbia,58
59,23,Serbia,59
60,38,Serbia,60
61,8,Costa Rica,61
62,21,Costa Rica,62
63,41,Costa Rica,63
64,9,Belgium,64
65,25,Belgium,65
66,43,Belgium,66
67,54,Belgium,67
68,58,Belgium,68
69,61,Belgium,69
70,63,Belgium,70
71,9,Panama,71
72,27,Panama,72
73,42,Panama,73
74,10,England,74
75,27,England,75
76,43,England,76
77,55,England,77
78,59,England,78
79,62,England,79
80,63,England,80
81,10,Tunisia,81
82,25,Tunisia,82
83,42,Tunisia,83
84,11,Sweden,84
85,24,Sweden,85
86,39,Sweden,86
87,56,Sweden,87
88,59,Sweden,88
89,11,South Korea,89
90,26,South Korea,90
91,40,South Korea,91
92,12,Poland,92
93,28,Poland,93
94,45,Poland,94
95,12,Senegal,95
96,29,Senegal,96
97,44,Senegal,97
98,13,Egypt,98
99,32,Egypt,99
100,48,Egypt,100
101,14,Colombia,101
102,28,Colombia,102
103,44,Colombia,103
104,55,Colombia,104
105,14,Japan,105
106,29,Japan,106
107,45,Japan,107
108,54,Japan,108
109,15,Morocco,109
110,33,Morocco,110
111,47,Morocco,111
112,15,Portugal,112
113,30,Portugal,113
114,46,Portugal,114
115,49,Portugal,115
116,16,Spain,116
117,33,Spain,117
118,46,Spain,118
119,52,Spain,119
120,16,Iran,120
121,30,Iran,121
122,47,Iran,122
123,17,Uruguay,123
124,31,Uruguay,124
125,48,Uruguay,125
126,49,Uruguay,126
127,57,Uruguay,127
